SDATA,TZ,TP
2024-01-20 04:00,6.1,7.7
2024-01-20 05:00,6.1,8.0
2024-01-20 06:00,5.9,7.5
2024-01-20 07:00,5.9,8.9
2024-01-20 08:00,6.3,7.5
2024-01-20 09:00,5.9,8.2
2024-01-20 10:00,6.1,11.7
2024-01-20 11:00,5.6,11.3
2024-01-20 12:00,5.9,12.0
2024-01-20 13:00,6.3,10.8
2024-01-20 14:00,6.3,11.0
2024-01-20 15:00,6.1,10.8
2024-01-20 16:00,6.8,11.5
2024-01-20 17:00,6.6,11.5
2024-01-20 18:00,6.3,11.0
2024-01-20 19:00,7.0,10.8
2024-01-20 20:00,7.0,11.5
2024-01-20 21:00,6.8,11.5
2024-01-20 22:00,7.0,10.1
2024-01-20 23:00,7.0,10.3
2024-01-21 00:00,7.3,10.8
2024-01-21 01:00,6.1,10.8
2024-01-21 02:00,6.1,9.8
2024-01-21 03:00,6.3,10.3
2024-01-21 04:00,6.8,10.3
2024-01-21 05:00,6.3,10.3
2024-01-21 06:00,6.3,10.5
2024-01-21 07:00,5.6,10.5
2024-01-21 08:00,5.6,9.6
2024-01-21 09:00,5.4,10.1
2024-01-21 10:00,4.7,9.8
2024-01-21 11:00,5.2,9.4
2024-01-21 12:00,4.9,4.9
2024-01-21 13:00,5.2,15.2
2024-01-21 14:00,5.2,14.5
2024-01-21 15:00,5.2,14.5
2024-01-21 16:00,5.9,14.3
2024-01-21 17:00,5.9,14.5
2024-01-21 18:00,6.1,13.4
2024-01-21 19:00,6.3,14.5
2024-01-21 20:00,6.3,13.1
2024-01-21 21:00,6.6,13.8
2024-01-21 22:00,6.3,13.1
2024-01-21 23:00,6.3,13.6
2024-01-22 00:00,7.3,13.6
2024-01-22 01:00,7.5,12.9
2024-01-22 02:00,8.4,14.3
2024-01-22 03:00,8.0,13.1
2024-01-22 04:00,7.5,14.3
2024-01-22 05:00,7.5,13.6
2024-01-22 06:00,6.8,13.1
2024-01-22 07:00,7.3,14.1
2024-01-22 08:00,7.0,13.4
2024-01-22 09:00,7.3,14.5
2024-01-22 10:00,7.7,14.5
2024-01-22 11:00,6.6,13.8
2024-01-22 12:00,7.5,15.0
2024-01-22 13:00,6.8,15.5
2024-01-22 14:00,7.7,15.2
2024-01-22 15:00,7.7,15.0
2024-01-22 16:00,7.7,15.5
2024-01-22 17:00,8.4,14.5
2024-01-22 18:00,8.2,14.3
2024-01-22 19:00,8.4,13.8
2024-01-22 20:00,9.1,14.5
2024-01-22 21:00,8.9,13.8
2024-01-22 22:00,8.4,14.5
2024-01-22 23:00,8.0,13.6
2024-01-23 00:00,8.7,15.0
2024-01-23 01:00,9.1,15.5
2024-01-23 02:00,9.4,14.8
2024-01-23 03:00,9.8,15.0
2024-01-23 04:00,9.4,14.5
2024-01-23 05:00,9.4,16.2
2024-01-23 06:00,9.8,15.0
2024-01-23 07:00,10.3,14.3
2024-01-23 08:00,10.1,15.2
2024-01-23 09:00,8.7,14.5
2024-01-23 10:00,8.9,16.9
2024-01-23 11:00,8.4,15.7
2024-01-23 12:00,8.4,14.8
2024-01-23 13:00,9.1,14.5
2024-01-23 14:00,9.6,16.9
2024-01-23 15:00,9.4,16.4
2024-01-23 16:00,9.4,16.2
2024-01-23 17:00,10.3,15.5
2024-01-23 18:00,9.1,15.0
2024-01-23 19:00,10.8,15.0
2024-01-23 20:00,9.1,15.5
2024-01-23 21:00,9.8,14.3
2024-01-23 22:00,10.3,15.2
2024-01-23 23:00,9.6,14.3
2024-01-24 00:00,9.6,15.2
2024-01-24 01:00,9.4,14.8
2024-01-24 02:00,9.6,14.8
2024-01-25 02:00,8.0,17.3
2024-01-25 03:00,7.7,17.1
2024-01-25 04:00,8.4,17.1
2024-01-25 05:00,8.4,16.9
2024-01-25 06:00,7.5,15.9
2024-01-25 07:00,8.0,13.1
2024-01-25 08:00,7.0,15.7
2024-01-25 09:00,7.7,15.7
2024-01-25 10:00,7.5,15.2
2024-01-25 11:00,7.5,14.8
2024-01-25 12:00,7.5,13.8
2024-01-25 13:00,7.3,13.4
2024-01-25 14:00,7.7,15.5
2024-01-25 15:00,7.7,14.5
2024-01-25 16:00,8.0,14.5
2024-01-25 17:00,7.5,14.5
2024-01-25 18:00,8.2,13.4
2024-01-25 19:00,8.2,13.1
2024-01-25 20:00,7.7,14.5
2024-01-25 21:00,9.1,14.5
2024-01-25 22:00,8.9,14.5
2024-01-25 23:00,8.9,13.6
2024-01-26 00:00,9.8,13.6
2024-01-26 01:00,9.1,13.8
2024-01-26 02:00,9.6,13.6
2024-01-26 03:00,9.6,13.4
2024-01-26 04:00,9.8,13.4
2024-01-26 05:00,9.8,13.4
2024-01-26 06:00,8.9,13.6
2024-01-26 07:00,9.1,13.1
2024-01-26 08:00,9.1,12.9
2024-01-26 09:00,8.7,12.9
2024-01-26 10:00,7.5,12.9
2024-01-26 11:00,6.6,13.4
2024-01-26 12:00,8.2,12.9
2024-01-26 13:00,7.7,12.4
2024-01-26 14:00,7.7,13.1
2024-01-26 15:00,8.2,12.9
2024-01-26 16:00,8.2,13.1
2024-01-26 17:00,8.4,12.4
2024-01-26 18:00,8.2,12.9
2024-01-26 19:00,8.2,11.5
2024-01-26 20:00,8.7,12.2
2024-01-26 21:00,8.9,11.7
2024-01-26 22:00,8.9,11.5
