Valor nulo: -9999.9		
Fecha (GMT)	Velocidad media de Corriente(m/s)	Dir. de prop. de la Corriente (0=N,90=E)
2023 05 05 19	0.201	177.43
2023 05 05 20	0.249	190.4
2023 05 05 21	0.271	204.86
2023 05 05 22	0.284	219.44
2023 05 05 23	0.292	235.44
2023 05 06 00	0.297	251.2
2023 05 06 01	0.305	264.17
2023 05 06 02	0.305	274.88
2023 05 06 03	0.296	283.47
2023 05 06 04	0.279	291.87
2023 05 06 05	0.258	301.53
2023 05 06 06	0.237	314.31
2023 05 06 07	0.223	329.87
2023 05 06 08	0.21	347.35
2023 05 06 09	0.2	6.87
2023 05 06 10	0.195	26.43
2023 05 06 11	0.183	44.55
2023 05 06 12	0.156	63.43
2023 05 06 13	0.127	90.9
2023 05 06 14	0.121	122.9
2023 05 06 15	0.135	147.94
2023 05 06 16	0.149	164.47
2023 05 06 17	0.152	175.11
2023 05 06 18	0.149	182.3
2023 05 06 19	0.153	188.23
2023 05 06 20	0.165	191.85
2023 05 06 21	0.158	203.81
2023 05 06 22	0.145	222.77
2023 05 06 23	0.143	245.22
2023 05 07 00	0.156	263.78
2023 05 07 01	0.179	275.42
2023 05 07 02	0.197	282.84
2023 05 07 03	0.204	288.25
2023 05 07 04	0.198	291.53
2023 05 07 05	0.179	294.7
2023 05 07 06	0.155	302.16
2023 05 07 07	0.137	319.12
2023 05 07 08	0.133	342.51
2023 05 07 09	0.137	5.83
2023 05 07 10	0.153	28.9
2023 05 07 11	0.165	45.0
2023 05 07 12	0.155	58.97
2023 05 07 13	0.129	80.24
2023 05 07 14	0.116	110.15
2023 05 07 15	0.122	140.97
2023 05 07 16	0.143	163.33
2023 05 07 17	0.162	177.17
2023 05 07 18	0.169	186.78
2023 05 07 19	0.169	195.01
2023 05 07 20	0.158	201.86
2023 05 07 21	0.143	212.8
2023 05 07 22	0.142	224.99
2023 05 07 23	0.147	238.9
2023 05 08 00	0.157	254.1
2023 05 08 01	0.177	262.55
2023 05 08 02	0.2	265.42
2023 05 08 03	0.222	264.85
2023 05 08 04	0.241	263.81
2023 05 08 05	0.249	264.95
2023 05 08 06	0.242	270.47
2023 05 08 07	0.223	281.1
2023 05 08 08	0.203	296.81
2023 05 08 09	0.194	314.79
2023 05 08 10	0.19	329.8
2023 05 08 11	0.182	339.18
2023 05 08 12	0.171	344.74
2023 05 08 13	0.144	349.62
2023 05 08 14	0.111	356.39
2023 05 08 15	0.061	8.39
2023 05 08 16	0.018	67.61
2023 05 08 17	0.047	149.65
2023 05 08 18	0.084	157.06
2023 05 08 19	0.117	165.72
2023 05 08 20	0.145	172.09
2023 05 08 21	0.187	177.85
2023 05 08 22	0.191	189.9
2023 05 08 23	0.166	209.48
2023 05 09 00	0.15	232.29
2023 05 09 01	0.159	248.73
2023 05 09 02	0.179	256.11
2023 05 09 03	0.201	260.3
2023 05 09 04	0.216	264.42
2023 05 09 05	0.219	271.04
2023 05 09 06	0.21	280.66
2023 05 09 07	0.195	296.69
2023 05 09 08	0.191	318.81
2023 05 09 09	0.202	340.93
2023 05 09 10	0.221	0.25
2023 05 09 11	0.238	18.05
2023 05 09 12	0.256	34.68
2023 05 09 13	0.252	50.63
2023 05 09 14	0.232	68.06
2023 05 09 15	0.211	89.72
2023 05 09 16	0.2	117.33
2023 05 09 17	0.23	142.93
2023 05 09 18	0.263	159.36
2023 05 09 19	0.262	170.57
2023 05 09 20	0.25	179.08
2023 05 09 21	0.22	187.83
2023 05 09 22	0.182	197.84
2023 05 09 23	0.138	210.25
2023 05 10 00	0.067	230.41
2023 05 10 01	0.08	242.8
2023 05 10 02	0.098	251.01
2023 05 10 03	0.111	256.46
2023 05 10 04	0.119	262.27
2023 05 10 05	0.118	270.48
2023 05 10 06	0.106	288.6
2023 05 10 07	0.101	314.59
2023 05 10 08	0.115	347.04
2023 05 10 09	0.149	10.03
2023 05 10 10	0.178	24.84
2023 05 10 11	0.195	35.4
2023 05 10 12	0.2	44.39
2023 05 10 13	0.2	53.93
2023 05 10 14	0.214	64.03
2023 05 10 15	0.228	72.91
2023 05 10 16	0.241	82.13
2023 05 10 17	0.252	90.9
2023 05 10 18	0.253	101.13
2023 05 10 19	0.253	115.45
2023 05 10 20	0.281	133.84
2023 05 10 21	0.288	150.23
2023 05 10 22	0.259	164.14
2023 05 10 23	0.212	176.49
2023 05 11 00	0.164	189.8
2023 05 11 01	0.127	207.96
2023 05 11 02	0.109	230.19
2023 05 11 03	0.106	251.39
2023 05 11 04	0.113	267.46
2023 05 11 05	0.118	278.74
2023 05 11 06	0.116	292.16
2023 05 11 07	0.116	314.65
2023 05 11 08	0.13	341.28
2023 05 11 09	0.159	5.38
2023 05 11 10	0.2	24.13
2023 05 11 11	0.262	38.96
2023 05 11 12	0.325	50.23
2023 05 11 13	0.356	61.85
2023 05 11 14	0.371	74.2
2023 05 11 15	0.373	86.62
2023 05 11 16	0.358	99.8
2023 05 11 17	0.329	113.83
2023 05 11 18	0.293	128.08
2023 05 11 19	0.26	144.36
2023 05 11 20	0.244	162.38
2023 05 11 21	0.251	181.14
2023 05 11 22	0.255	197.08
2023 05 11 23	0.229	212.16
2023 05 12 00	0.179	230.19
2023 05 12 01	0.133	256.58
2023 05 12 02	0.116	286.41
2023 05 12 03	0.115	307.26
2023 05 12 04	0.111	317.17
2023 05 12 05	0.101	320.19
2023 05 12 06	0.093	321.05
2023 05 12 07	0.093	325.45
2023 05 12 08	0.091	331.18
2023 05 12 09	0.083	338.32
2023 05 12 10	0.077	355.54
2023 05 12 11	0.102	24.81
2023 05 12 12	0.15	43.11
2023 05 12 13	0.18	59.3
2023 05 12 14	0.187	74.18
2023 05 12 15	0.184	88.75
2023 05 12 16	0.174	107.29
2023 05 12 17	0.187	135.64
2023 05 12 18	0.21	161.73
2023 05 12 19	0.214	185.89
2023 05 12 20	0.237	204.4
2023 05 12 21	0.258	215.53
2023 05 12 22	0.268	221.82
2023 05 12 23	0.252	232.08
2023 05 13 00	0.228	245.45
2023 05 13 01	0.199	259.87
2023 05 13 02	0.17	278.41
2023 05 13 03	0.152	296.39
2023 05 13 04	0.14	311.53
2023 05 13 05	0.122	317.31
2023 05 13 06	0.101	315.79
2023 05 13 07	0.083	309.62
2023 05 13 08	0.073	295.86
2023 05 13 09	0.071	281.3
2023 05 13 10	0.076	268.49
2023 05 13 11	0.079	261.36
2023 05 13 12	0.071	263.57
2023 05 13 13	0.047	277.27
2023 05 13 14	0.026	357.79
2023 05 13 15	0.062	43.69
2023 05 13 16	0.072	49.48
2023 05 13 17	0.074	58.24
2023 05 13 18	0.057	75.96
2023 05 13 19	0.042	150.42
2023 05 13 20	0.103	197.38
2023 05 13 21	0.183	212.3
2023 05 13 22	0.235	222.07
2023 05 13 23	0.253	231.72
2023 05 14 00	0.25	241.59
2023 05 14 01	0.231	251.64
2023 05 14 02	0.203	264.65
2023 05 14 03	0.179	280.93
2023 05 14 04	0.165	294.7
2023 05 14 05	0.154	305.23
2023 05 14 06	0.14	312.68
2023 05 14 07	0.122	314.0
2023 05 14 08	0.1	305.27
2023 05 14 09	0.08	287.98
2023 05 14 10	0.068	266.63
2023 05 14 11	0.068	249.44
2023 05 14 12	0.07	241.26
2023 05 14 13	0.073	234.37
2023 05 14 14	0.062	230.19
2023 05 14 15	0.044	224.09
2023 05 14 16	0.023	223.26
2023 05 14 17	0.01	264.28
2023 05 14 18	0.01	343.3
2023 05 14 19	0.006	198.43
2023 05 14 20	0.03	204.9
2023 05 14 21	0.061	211.6
2023 05 14 22	0.1	216.52
2023 05 14 23	0.136	220.23
2023 05 15 00	0.147	230.49
2023 05 15 01	0.149	240.35
2023 05 15 02	0.142	251.56
2023 05 15 03	0.13	266.91
2023 05 15 04	0.12	283.45
2023 05 15 05	0.114	298.13
2023 05 15 06	0.112	313.19
2023 05 15 07	0.116	326.58
2023 05 15 08	0.116	334.53
2023 05 15 09	0.105	339.5
2023 05 15 10	0.095	352.2
2023 05 15 11	0.101	7.89
2023 05 15 12	0.116	19.05
2023 05 15 13	0.125	31.27
2023 05 15 14	0.141	44.42
2023 05 15 15	0.162	56.01
2023 05 15 16	0.182	63.99
2023 05 15 17	0.188	69.15
2023 05 15 18	0.167	74.8
2023 05 15 19	0.129	90.88
2023 05 15 20	0.114	127.56
2023 05 15 21	0.158	163.5
2023 05 15 22	0.211	185.71
2023 05 15 23	0.251	200.95
2023 05 16 00	0.279	214.48
2023 05 16 01	0.286	226.27
2023 05 16 02	0.28	238.58
2023 05 16 03	0.264	252.59
2023 05 16 04	0.246	269.3
2023 05 16 05	0.235	287.28
2023 05 16 06	0.234	306.13
2023 05 16 07	0.241	322.41
2023 05 16 08	0.241	333.96
2023 05 16 09	0.232	342.96
2023 05 16 10	0.213	349.21
2023 05 16 11	0.192	354.02
2023 05 16 12	0.167	358.28
2023 05 16 13	0.135	5.5
2023 05 16 14	0.101	17.18
2023 05 16 15	0.076	35.97
2023 05 16 16	0.072	62.72
2023 05 16 17	0.067	90.0
2023 05 16 18	0.058	119.62
2023 05 16 19	0.059	158.19
2023 05 16 20	0.071	194.62
2023 05 16 21	0.101	219.01
2023 05 16 22	0.139	236.08
2023 05 16 23	0.172	249.98
2023 05 17 00	0.183	264.38
2023 05 17 01	0.201	271.7
2023 05 17 02	0.209	278.51
2023 05 17 03	0.209	286.96
2023 05 17 04	0.203	297.57
2023 05 17 05	0.196	311.07
2023 05 17 06	0.199	326.23
2023 05 17 07	0.196	339.17
2023 05 17 08	0.184	349.05
2023 05 17 09	0.154	353.7
2023 05 17 10	0.108	351.49
2023 05 17 11	0.058	330.37
2023 05 17 12	0.063	269.99
2023 05 17 13	0.101	249.77
2023 05 17 14	0.142	248.12
2023 05 17 15	0.166	252.21
2023 05 17 16	0.174	257.07
2023 05 17 17	0.166	264.49
2023 05 17 18	0.151	274.54
2023 05 17 19	0.142	285.89
2023 05 17 20	0.134	298.47
2023 05 17 21	0.125	308.51
2023 05 17 22	0.113	313.93
2023 05 17 23	0.102	313.02
2023 05 18 00	0.097	303.69
2023 05 18 01	0.088	287.81
2023 05 18 02	0.088	269.99
2023 05 18 03	0.09	259.18
2023 05 18 04	0.083	258.28
2023 05 18 05	0.069	264.2
2023 05 18 06	0.051	284.57
2023 05 18 07	0.047	319.26
2023 05 18 08	0.057	346.93
2023 05 18 09	0.072	2.38
2023 05 18 10	0.074	7.69
2023 05 18 11	0.061	3.75
2023 05 18 12	0.038	343.44
2023 05 18 13	0.032	306.15
2023 05 18 14	0.036	290.92
2023 05 18 15	0.041	302.15
2023 05 18 16	0.049	325.66
2023 05 18 17	0.068	345.55
2023 05 18 18	0.099	1.15
2023 05 18 19	0.123	13.13
2023 05 18 20	0.135	20.3
2023 05 18 21	0.127	24.96
2023 05 18 22	0.102	29.32
2023 05 18 23	0.055	39.14
2023 05 19 00	0.019	135.0
2023 05 19 01	0.058	195.94
2023 05 19 02	0.094	208.99
2023 05 19 03	0.122	217.05
2023 05 19 04	0.132	223.78
2023 05 19 05	0.131	231.81
2023 05 19 06	0.116	242.99
2023 05 19 07	0.097	260.53
2023 05 19 08	0.089	284.97
2023 05 19 09	0.098	312.93
2023 05 19 10	0.115	330.99
2023 05 19 11	0.119	339.89
2023 05 19 12	0.108	345.06
2023 05 19 13	0.088	354.8
2023 05 19 14	0.072	21.94
2023 05 19 15	0.06	51.04
2023 05 19 16	0.074	75.21
2023 05 19 17	0.103	83.35
2023 05 19 18	0.124	86.76
2023 05 19 19	0.125	92.29
2023 05 19 20	0.12	98.6
2023 05 19 21	0.111	108.92
2023 05 19 22	0.103	126.75
2023 05 19 23	0.102	151.43
2023 05 20 00	0.104	178.34
2023 05 20 01	0.121	199.78
2023 05 20 02	0.137	215.53
2023 05 20 03	0.145	228.07
2023 05 20 04	0.142	240.0
2023 05 20 05	0.124	254.18
2023 05 20 06	0.106	274.85
2023 05 20 07	0.097	300.25
2023 05 20 08	0.105	327.82
2023 05 20 09	0.126	348.6
2023 05 20 10	0.149	3.83
2023 05 20 11	0.159	14.56
2023 05 20 12	0.154	23.73
2023 05 20 13	0.136	35.78
2023 05 20 14	0.117	52.64
2023 05 20 15	0.102	75.82
2023 05 20 16	0.106	99.72
2023 05 20 17	0.123	114.48
2023 05 20 18	0.136	122.4
2023 05 20 19	0.134	129.25
2023 05 20 20	0.118	134.31
2023 05 20 21	0.103	146.46
2023 05 20 22	0.097	167.53
2023 05 20 23	0.098	196.58
2023 05 21 00	0.119	226.69
2023 05 21 01	0.147	245.52
2023 05 21 02	0.175	258.81
2023 05 21 03	0.193	269.99
2023 05 21 04	0.199	280.97
2023 05 21 05	0.196	293.42
2023 05 21 06	0.188	308.32
2023 05 21 07	0.191	322.65
2023 05 21 08	0.199	334.07
2023 05 21 09	0.199	341.92
2023 05 21 10	0.198	345.68
2023 05 21 11	0.182	345.04
2023 05 21 12	0.157	339.95
2023 05 21 13	0.133	328.44
2023 05 21 14	0.108	310.88
2023 05 21 15	0.103	289.13
2023 05 21 16	0.114	272.51
2023 05 21 17	0.112	260.78
2023 05 21 18	0.107	257.12
2023 05 21 19	0.098	260.63
2023 05 21 20	0.084	263.88
2023 05 21 21	0.08	273.57
2023 05 21 22	0.083	282.38
2023 05 21 23	0.095	285.2
2023 05 22 00	0.11	279.88
2023 05 22 01	0.133	274.72
2023 05 22 02	0.16	270.71
2023 05 22 03	0.183	269.68
2023 05 22 04	0.196	270.87
2023 05 22 05	0.194	273.24
2023 05 22 06	0.179	277.67
2023 05 22 07	0.156	283.68
2023 05 22 08	0.135	291.25
2023 05 22 09	0.122	299.28
2023 05 22 10	0.117	304.63
2023 05 22 11	0.122	302.65
2023 05 22 12	0.13	295.97
2023 05 22 13	0.136	287.9
2023 05 22 14	0.145	280.69
2023 05 22 15	0.152	275.26
2023 05 22 16	0.152	272.26
2023 05 22 17	0.134	269.99
2023 05 22 18	0.099	264.23
2023 05 22 19	0.084	243.13
2023 05 22 20	0.097	235.49
2023 05 22 21	0.096	234.32
2023 05 22 22	0.099	240.61
2023 05 22 23	0.112	248.67
2023 05 23 00	0.131	258.6
2023 05 23 01	0.156	263.37
2023 05 23 02	0.18	265.23
2023 05 23 03	0.199	267.12
2023 05 23 04	0.209	268.9
2023 05 23 05	0.206	270.27
2023 05 23 06	0.192	271.49
2023 05 23 07	0.169	273.72
2023 05 23 08	0.138	279.53
2023 05 23 09	0.106	291.5
2023 05 23 10	0.08	310.98
2023 05 23 11	0.069	340.78
2023 05 23 12	0.068	10.98
2023 05 23 13	0.048	34.99
2023 05 23 14	0.021	111.8
2023 05 23 15	0.056	176.93
2023 05 23 16	0.1	189.18
2023 05 23 17	0.136	197.9
2023 05 23 18	0.159	204.8
2023 05 23 19	0.169	211.71
2023 05 23 20	0.17	220.96
2023 05 23 21	0.166	233.82
2023 05 23 22	0.155	252.03
2023 05 23 23	0.157	264.54
2023 05 24 00	0.184	274.04
2023 05 24 01	0.194	281.54
2023 05 24 02	0.206	283.7
2023 05 24 03	0.21	283.44
2023 05 24 04	0.21	280.4
2023 05 24 05	0.206	276.95
2023 05 24 06	0.193	274.14
2023 05 24 07	0.182	271.25
2023 05 24 08	0.167	271.71
2023 05 24 09	0.157	274.73
2023 05 24 10	0.153	281.23
2023 05 24 11	0.155	288.31
2023 05 24 12	0.161	294.17
2023 05 24 13	0.161	297.67
2023 05 24 14	0.156	297.87
2023 05 24 15	0.143	293.88
2023 05 24 16	0.13	283.71
2023 05 24 17	0.122	270.93
2023 05 24 18	0.112	256.58
2023 05 24 19	0.122	243.22
2023 05 24 20	0.136	239.68
2023 05 24 21	0.132	241.69
2023 05 24 22	0.115	246.08
2023 05 24 23	0.101	255.14
2023 05 25 00	0.096	263.46
2023 05 25 01	0.1	265.99
2023 05 25 02	0.112	263.37
2023 05 25 03	0.131	258.6
2023 05 25 04	0.152	254.77
2023 05 25 05	0.174	252.7
2023 05 25 06	0.191	252.98
2023 05 25 07	0.199	254.56
2023 05 25 08	0.197	258.0
2023 05 25 09	0.178	264.86
2023 05 25 10	0.143	278.41
2023 05 25 11	0.108	304.86
2023 05 25 12	0.092	327.33
2023 05 25 13	0.081	357.17
2023 05 25 14	0.062	18.72
2023 05 25 15	0.044	49.53
2023 05 25 16	0.042	95.44
2023 05 25 17	0.058	125.88
2023 05 25 18	0.079	141.67
2023 05 25 19	0.104	152.7
2023 05 25 20	0.128	160.85
2023 05 25 21	0.147	167.85
2023 05 25 22	0.158	175.65
2023 05 25 23	0.16	183.21
2023 05 26 00	0.158	192.72
2023 05 26 01	0.161	205.76
2023 05 26 02	0.169	219.97
2023 05 26 03	0.183	235.18
2023 05 26 04	0.201	248.77
2023 05 26 05	0.217	261.27
2023 05 26 06	0.228	270.75
2023 05 26 07	0.225	279.17
2023 05 26 08	0.205	289.57
2023 05 26 09	0.171	307.87
2023 05 26 10	0.144	335.55
2023 05 26 11	0.14	5.3
2023 05 26 12	0.158	32.08
2023 05 26 13	0.165	53.13
2023 05 26 14	0.154	74.25
2023 05 26 15	0.143	98.41
2023 05 26 16	0.143	126.79
2023 05 26 17	0.163	152.65
2023 05 26 18	0.195	172.65
2023 05 26 19	0.233	187.88
2023 05 26 20	0.27	201.25
2023 05 26 21	0.299	212.99
2023 05 26 22	0.314	223.7
2023 05 26 23	0.316	233.6
2023 05 27 00	0.305	242.34
2023 05 27 01	0.29	251.56
2023 05 27 02	0.27	260.43
2023 05 27 03	0.245	268.59
2023 05 27 04	0.213	275.92
2023 05 27 05	0.18	281.8
2023 05 27 06	0.155	286.09
2023 05 27 07	0.128	284.9
2023 05 27 08	0.113	272.02
2023 05 27 09	0.114	254.87
2023 05 27 10	0.134	244.0
2023 05 27 11	0.16	242.15
2023 05 27 12	0.181	246.67
2023 05 27 13	0.185	252.14
2023 05 27 14	0.168	257.69
2023 05 27 15	0.167	256.54
2023 05 27 16	0.147	259.07
2023 05 27 17	0.115	262.01
2023 05 27 18	0.078	262.69
2023 05 27 19	0.056	250.27
2023 05 27 20	0.058	220.17
2023 05 27 21	0.087	205.68
2023 05 27 22	0.126	205.34
2023 05 27 23	0.165	210.43
2023 05 28 00	0.197	220.69
2023 05 28 01	0.221	232.14
2023 05 28 02	0.242	243.01
2023 05 28 03	0.261	253.99
2023 05 28 04	0.277	264.61
2023 05 28 05	0.288	274.17
2023 05 28 06	0.292	283.03
2023 05 28 07	0.284	290.15
2023 05 28 08	0.261	296.56
2023 05 28 09	0.225	302.7
2023 05 28 10	0.181	310.08
2023 05 28 11	0.135	316.78
2023 05 28 12	0.086	324.84
2023 05 28 13	0.037	325.88
2023 05 28 14	0.013	210.25
2023 05 28 15	0.048	189.46
2023 05 28 16	0.078	191.02
2023 05 28 17	0.096	195.61
2023 05 28 18	0.109	201.41
2023 05 28 19	0.128	208.75
2023 05 28 20	0.156	216.43
2023 05 28 21	0.196	222.72
2023 05 28 22	0.235	228.26
2023 05 28 23	0.266	236.01
2023 05 29 00	0.29	245.37
2023 05 29 01	0.306	255.05
2023 05 29 02	0.319	265.69
2023 05 29 03	0.329	277.14
2023 05 29 04	0.339	287.84
2023 05 29 05	0.344	297.3
2023 05 29 06	0.342	305.49
2023 05 29 07	0.327	311.9
2023 05 29 08	0.297	319.08
2023 05 29 09	0.254	327.18
2023 05 29 10	0.204	336.94
2023 05 29 11	0.151	347.43
2023 05 29 12	0.095	355.18
2023 05 29 13	0.033	354.8
2023 05 29 14	0.023	202.24
2023 05 29 15	0.07	198.94
2023 05 29 16	0.105	205.83
2023 05 29 17	0.13	213.07
2023 05 29 18	0.143	217.91
2023 05 29 19	0.159	220.67
2023 05 29 20	0.188	225.64
2023 05 29 21	0.23	229.74
2023 05 29 22	0.277	232.46
2023 05 29 23	0.319	237.4
2023 05 30 00	0.348	244.68
2023 05 30 01	0.365	252.3
2023 05 30 02	0.372	260.89
2023 05 30 03	0.372	271.69
2023 05 30 04	0.368	283.5
2023 05 30 05	0.361	294.71
2023 05 30 06	0.348	305.05
2023 05 30 07	0.324	314.62
2023 05 30 08	0.288	324.6
2023 05 30 09	0.246	336.55
2023 05 30 10	0.202	349.74
2023 05 30 11	0.155	2.95
2023 05 30 12	0.1	15.0
2023 05 30 13	0.047	44.14
2023 05 30 14	0.035	130.42
2023 05 30 15	0.069	169.17
2023 05 30 16	0.097	182.36
2023 05 30 17	0.115	192.47
2023 05 30 18	0.126	202.3
2023 05 30 19	0.14	211.87
2023 05 30 20	0.152	219.94
2023 05 30 21	0.176	227.29
2023 05 30 22	0.213	232.05
2023 05 30 23	0.254	236.68
2023 05 31 00	0.268	243.72
2023 05 31 01	0.293	250.7
2023 05 31 02	0.302	258.54
2023 05 31 03	0.296	268.83
2023 05 31 04	0.285	282.76
2023 05 31 05	0.275	296.47
2023 05 31 06	0.267	306.95
2023 05 31 07	0.253	313.39
2023 05 31 08	0.23	316.4
2023 05 31 09	0.198	317.04
2023 05 31 10	0.16	318.03
2023 05 31 11	0.122	321.63
2023 05 31 12	0.084	333.13
2023 05 31 13	0.047	342.71
2023 05 31 14	0.013	32.47
2023 05 31 15	0.024	155.55
2023 05 31 16	0.053	154.39
2023 05 31 17	0.074	153.77
2023 05 31 18	0.085	159.44
2023 05 31 19	0.095	174.58
2023 05 31 20	0.108	195.43
2023 05 31 21	0.137	214.61
2023 05 31 22	0.181	226.34
2023 05 31 23	0.222	234.52
2023 06 01 00	0.26	240.09
2023 06 01 01	0.284	245.68
2023 06 01 02	0.292	252.92
2023 06 01 03	0.291	261.7
2023 06 01 04	0.287	271.39
2023 06 01 05	0.285	280.91
2023 06 01 06	0.285	289.89
2023 06 01 07	0.284	298.09
2023 06 01 08	0.279	304.65
2023 06 01 09	0.27	309.28
2023 06 01 10	0.258	311.39
2023 06 01 11	0.244	311.84
2023 06 01 12	0.229	310.76
2023 06 01 13	0.201	308.96
2023 06 01 14	0.169	307.07
2023 06 01 15	0.131	305.38
2023 06 01 16	0.089	308.15
2023 06 01 17	0.039	321.11
2023 06 01 18	0.005	216.86
2023 06 01 19	0.04	197.1
2023 06 01 20	0.076	212.64
2023 06 01 21	0.114	224.99
2023 06 01 22	0.154	232.38
2023 06 01 23	0.189	237.73
2023 06 02 00	0.216	244.61
2023 06 02 01	0.245	250.75
2023 06 02 02	0.272	256.83
2023 06 02 03	0.288	265.02
2023 06 02 04	0.299	274.79
2023 06 02 05	0.307	285.48
2023 06 02 06	0.305	297.65
2023 06 02 07	0.292	309.3
2023 06 02 08	0.266	319.56
2023 06 02 09	0.233	327.05
2023 06 02 10	0.193	329.18
2023 06 02 11	0.148	323.2
2023 06 02 12	0.122	304.99
2023 06 02 13	0.127	286.44
2023 06 02 14	0.145	271.58
2023 06 02 15	0.163	254.34
2023 06 02 16	0.187	244.39
2023 06 02 17	0.201	242.16
2023 06 02 18	0.205	241.81
2023 06 02 19	0.208	240.73
2023 06 02 20	0.215	241.77
2023 06 02 21	0.226	246.03
2023 06 02 22	0.243	250.07
2023 06 02 23	0.267	253.25
2023 06 03 00	0.307	256.64
2023 06 03 01	0.339	259.98
2023 06 03 02	0.359	263.29
2023 06 03 03	0.361	267.62
2023 06 03 04	0.346	272.81
2023 06 03 05	0.318	279.01
2023 06 03 06	0.28	287.2
2023 06 03 07	0.24	298.05
2023 06 03 08	0.207	309.52
2023 06 03 09	0.18	318.81
2023 06 03 10	0.149	324.28
2023 06 03 11	0.107	319.51
2023 06 03 12	0.074	290.37
2023 06 03 13	0.085	244.33
2023 06 03 14	0.128	218.38
2023 06 03 15	0.174	202.29
2023 06 03 16	0.231	198.9
2023 06 03 17	0.275	199.75
2023 06 03 18	0.29	202.05
2023 06 03 19	0.29	208.32
2023 06 03 20	0.277	217.24
2023 06 03 21	0.261	228.25
2023 06 03 22	0.259	241.16
2023 06 03 23	0.268	252.64
2023 06 04 00	0.286	259.55
2023 06 04 01	0.303	264.7
2023 06 04 02	0.319	267.66
2023 06 04 03	0.331	269.65
2023 06 04 04	0.33	272.42
2023 06 04 05	0.319	276.47
2023 06 04 06	0.297	282.63
2023 06 04 07	0.269	290.85
2023 06 04 08	0.244	300.76
2023 06 04 09	0.227	312.86
2023 06 04 10	0.209	324.71
2023 06 04 11	0.18	333.0
2023 06 04 12	0.143	337.53
2023 06 04 13	0.092	331.48
2023 06 04 14	0.049	296.56
2023 06 04 15	0.07	233.13
2023 06 04 16	0.125	216.59
2023 06 04 17	0.174	213.32
2023 06 04 18	0.208	213.84
2023 06 04 19	0.23	216.72
2023 06 04 20	0.24	221.11
2023 06 04 21	0.244	227.82
2023 06 04 22	0.251	237.0
2023 06 04 23	0.262	247.34
2023 06 05 00	0.276	255.36
2023 06 05 01	0.293	261.75
2023 06 05 02	0.306	267.0
2023 06 05 03	0.314	271.27
2023 06 05 04	0.314	274.37
2023 06 05 05	0.301	277.99
2023 06 05 06	0.279	281.99
2023 06 05 07	0.248	287.05
2023 06 05 08	0.221	293.67
2023 06 05 09	0.203	301.1
2023 06 05 10	0.19	307.11
2023 06 05 11	0.178	307.7
2023 06 05 12	0.169	301.71
2023 06 05 13	0.169	291.86
2023 06 05 14	0.178	280.67
2023 06 05 15	0.191	267.3
2023 06 05 16	0.211	255.17
2023 06 05 17	0.23	246.99
2023 06 05 18	0.242	241.63
2023 06 05 19	0.25	238.72
2023 06 05 20	0.252	239.26
2023 06 05 21	0.257	245.72
2023 06 05 22	0.268	256.84
2023 06 05 23	0.268	266.58
2023 06 06 00	0.272	272.52
2023 06 06 01	0.279	275.13
2023 06 06 02	0.287	275.19
2023 06 06 03	0.294	273.69
2023 06 06 04	0.301	271.52
2023 06 06 05	0.304	269.62
2023 06 06 06	0.3	269.04
2023 06 06 07	0.284	270.4
2023 06 06 08	0.261	274.38
2023 06 06 09	0.236	280.97
2023 06 06 10	0.211	290.14
2023 06 06 11	0.195	298.0
2023 06 06 12	0.186	300.96
2023 06 06 13	0.175	299.05
2023 06 06 14	0.162	291.34
2023 06 06 15	0.152	279.03
2023 06 06 16	0.155	261.5
2023 06 06 17	0.178	248.31
2023 06 06 18	0.199	241.5
2023 06 06 19	0.22	235.73
2023 06 06 20	0.24	234.13
2023 06 06 21	0.262	239.52
2023 06 06 22	0.278	249.61
2023 06 06 23	0.295	259.86
2023 06 07 00	0.326	268.59
2023 06 07 01	0.349	275.09
2023 06 07 02	0.375	278.88
2023 06 07 03	0.394	279.91
2023 06 07 04	0.407	278.18
2023 06 07 05	0.414	274.7
2023 06 07 06	0.411	269.99
2023 06 07 07	0.403	264.88
2023 06 07 08	0.396	262.31
2023 06 07 09	0.376	263.59
2023 06 07 10	0.337	268.98
2023 06 07 11	0.287	277.19
2023 06 07 12	0.239	285.78
2023 06 07 13	0.198	290.35
2023 06 07 14	0.172	283.06
2023 06 07 15	0.179	263.9
2023 06 07 16	0.223	250.1
2023 06 07 17	0.277	244.35
2023 06 07 18	0.324	242.09
2023 06 07 19	0.357	240.85
2023 06 07 20	0.377	241.32
2023 06 07 21	0.385	243.7
2023 06 07 22	0.377	249.07
2023 06 07 23	0.35	258.65
2023 06 08 00	0.307	272.05
2023 06 08 01	0.273	285.91
2023 06 08 02	0.245	296.66
2023 06 08 03	0.214	293.33
2023 06 08 04	0.206	280.32
2023 06 08 05	0.226	266.96
2023 06 08 06	0.262	255.01
2023 06 08 07	0.303	247.74
2023 06 08 08	0.328	245.54
2023 06 08 09	0.334	246.57
2023 06 08 10	0.321	250.55
2023 06 08 11	0.296	257.55
2023 06 08 12	0.266	266.34
2023 06 08 13	0.233	273.92
2023 06 08 14	0.204	275.59
2023 06 08 15	0.191	270.89
2023 06 08 16	0.19	264.28
2023 06 08 17	0.193	258.4
2023 06 08 18	0.192	252.13
2023 06 08 19	0.192	244.1
2023 06 08 20	0.194	236.55
2023 06 08 21	0.198	231.34
