Valor nulo: -9999.9		
Fecha (GMT)	Velocidad media de Corriente(m/s)	Dir. de prop. de la Corriente (0=N,90=E)
2011 05 02 07	0.182	290.15
2011 05 02 08	0.157	309.47
2011 05 02 09	0.151	341.02
2011 05 02 10	0.152	9.38
2011 05 02 11	0.151	36.14
2011 05 02 12	0.151	62.09
2011 05 02 13	0.127	98.18
2011 05 02 14	0.138	139.89
2011 05 02 15	0.152	164.33
2011 05 02 16	0.172	182.29
2011 05 02 17	0.18	190.79
2011 05 02 18	0.175	194.09
2011 05 02 19	0.177	199.62
2011 05 02 20	0.153	207.7
2011 05 02 21	0.116	220.17
2011 05 02 22	0.103	237.52
2011 05 02 23	0.099	254.41
2011 05 03 00	0.094	267.47
2011 05 03 01	0.109	261.92
2011 05 03 02	0.124	257.3
2011 05 03 03	0.127	256.36
2011 05 03 04	0.14	253.95
2011 05 03 05	0.129	260.41
2011 05 03 06	0.108	274.02
2011 05 03 07	0.094	289.58
2011 05 03 08	0.084	320.46
2011 05 03 09	0.087	348.76
2011 05 03 10	0.058	4.65
2011 05 03 11	0.018	43.45
2011 05 03 12	0.022	39.66
2011 05 03 13	0.016	125.03
2011 05 03 14	0.042	178.04
2011 05 03 15	0.056	188.61
